model,true_positives,true_negatives,false_positives,false_negatives,samples,accuracy,positive_rate,hit_rate,precision,precision_lift,recall,fpr,jaccard,independent_prob,lift_over_independent,lift_over_majority,concept_entropy,classifier_entropy,mutual_information,comment,setting
SGDClassifier,22105.0,1714.0,4345.0,5579.0,33743.0,0.71,0.82,0.78,0.84,0.02,0.8,0.72,0.69,0.68,0.04,-0.14,0.68,0.75,0.0,,sdc_balanced
KNeighborsClassifier,26161.0,695.0,5364.0,1523.0,33743.0,0.8,0.82,0.93,0.83,0.01,0.94,0.89,0.79,0.78,0.02,-0.03,0.68,0.35,0.01,,sdc_balanced
MLPClassifier,27579.0,116.0,5943.0,105.0,33743.0,0.82,0.82,0.99,0.82,0.0,1.0,0.98,0.82,0.82,0.01,0.0,0.68,0.06,0.0,,sdc_balanced
Tree_ms_md,27669.0,0.0,6074.0,0.0,33743.0,0.82,0.82,1.0,0.82,0.0,1.0,1.0,0.82,0.82,0.0,0.0,0.68,0.0,-0.0,,sdc_3_1
Tree_default,22599.0,1743.0,4331.0,5070.0,33743.0,0.72,0.82,0.8,0.84,0.02,0.82,0.71,0.71,0.69,0.04,-0.12,0.68,0.73,0.01,,sdc_3_1
Tree_ms,27669.0,0.0,6074.0,0.0,33743.0,0.82,0.82,1.0,0.82,0.0,1.0,1.0,0.82,0.82,0.0,0.0,0.68,0.0,-0.0,,sdc_3_1
Tree_md,27669.0,0.0,6074.0,0.0,33743.0,0.82,0.82,1.0,0.82,0.0,1.0,1.0,0.82,0.82,0.0,0.0,0.68,0.0,-0.0,,sdc_3_1
RandomForest,27669.0,0.0,6074.0,0.0,33743.0,0.82,0.82,1.0,0.82,0.0,1.0,1.0,0.82,0.82,0.0,0.0,0.68,0.0,-0.0,,sdc_3_1
AdaBoost,27669.0,0.0,6074.0,0.0,33743.0,0.82,0.82,1.0,0.82,0.0,1.0,1.0,0.82,0.82,0.0,0.0,0.68,0.0,-0.0,,sdc_3_1
AdaBoost_n_small,27669.0,0.0,6074.0,0.0,33743.0,0.82,0.82,1.0,0.82,0.0,1.0,1.0,0.82,0.82,0.0,0.0,0.68,0.0,-0.0,,sdc_3_1
Stump,27669.0,0.0,6074.0,0.0,33743.0,0.82,0.82,1.0,0.82,0.0,1.0,1.0,0.82,0.82,0.0,0.0,0.68,0.0,-0.0,,sdc_3_1
LogisticRegression,23246.0,2070.0,4004.0,4423.0,33743.0,0.75,0.82,0.81,0.85,0.04,0.84,0.66,0.73,0.7,0.08,-0.09,0.68,0.71,0.02,,sdc_3_1
SGDClassifier,24499.0,1277.0,4797.0,3170.0,33743.0,0.76,0.82,0.87,0.84,0.02,0.89,0.79,0.75,0.74,0.04,-0.07,0.68,0.56,0.01,,sdc_3_1
KNeighborsClassifier,26197.0,653.0,5421.0,1472.0,33743.0,0.8,0.82,0.94,0.83,0.01,0.95,0.89,0.79,0.78,0.02,-0.03,0.68,0.34,0.0,,sdc_3_1
MLPClassifier,27594.0,115.0,5959.0,75.0,33743.0,0.82,0.82,0.99,0.82,0.0,1.0,0.98,0.82,0.82,0.01,0.0,0.68,0.05,0.0,,sdc_3_1
Tree_ms_md,23785.0,1844.0,4101.0,4013.0,33743.0,0.76,0.82,0.83,0.85,0.04,0.86,0.69,0.75,0.71,0.07,-0.08,0.67,0.67,0.02,,sdc_1_3
Tree_default,23105.0,1510.0,4435.0,4693.0,33743.0,0.73,0.82,0.82,0.84,0.02,0.83,0.75,0.72,0.7,0.04,-0.11,0.67,0.69,0.0,,sdc_1_3
Tree_ms,23214.0,2220.0,3725.0,4584.0,33743.0,0.75,0.82,0.8,0.86,0.05,0.84,0.63,0.74,0.69,0.09,-0.09,0.67,0.73,0.03,,sdc_1_3
Tree_md,23785.0,1844.0,4101.0,4013.0,33743.0,0.76,0.82,0.83,0.85,0.04,0.86,0.69,0.75,0.71,0.07,-0.08,0.67,0.67,0.02,,sdc_1_3
RandomForest,27798.0,0.0,5945.0,0.0,33743.0,0.82,0.82,1.0,0.82,0.0,1.0,1.0,0.82,0.82,0.0,0.0,0.67,0.0,0.0,,sdc_1_3
AdaBoost,27798.0,0.0,5945.0,0.0,33743.0,0.82,0.82,1.0,0.82,0.0,1.0,1.0,0.82,0.82,0.0,0.0,0.67,0.0,0.0,,sdc_1_3
AdaBoost_n_small,27798.0,0.0,5945.0,0.0,33743.0,0.82,0.82,1.0,0.82,0.0,1.0,1.0,0.82,0.82,0.0,0.0,0.67,0.0,0.0,,sdc_1_3
Stump,27798.0,0.0,5945.0,0.0,33743.0,0.82,0.82,1.0,0.82,0.0,1.0,1.0,0.82,0.82,0.0,0.0,0.67,0.0,0.0,,sdc_1_3
LogisticRegression,23331.0,2138.0,3807.0,4467.0,33743.0,0.75,0.82,0.8,0.86,0.04,0.84,0.64,0.74,0.7,0.08,-0.08,0.67,0.71,0.02,,sdc_1_3
SGDClassifier,15549.0,2774.0,3171.0,12249.0,33743.0,0.54,0.82,0.55,0.83,0.01,0.56,0.53,0.5,0.54,0.01,-0.34,0.67,0.99,0.0,,sdc_1_3
KNeighborsClassifier,26301.0,668.0,5277.0,1497.0,33743.0,0.8,0.82,0.94,0.83,0.01,0.95,0.89,0.8,0.78,0.02,-0.03,0.67,0.34,0.01,,sdc_1_3
MLPClassifier,27684.0,111.0,5834.0,114.0,33743.0,0.82,0.82,0.99,0.83,0.0,1.0,0.98,0.82,0.82,0.01,-0.0,0.67,0.06,0.0,,sdc_1_3
