true_positives,true_negatives,false_positives,false_negatives,samples,accuracy,positive_rate,hit_rate,precision,precision_lift,recall,fpr,jaccard,independent_prob,lift_over_independent,lift_over_majority,concept_entropy,classifier_entropy,mutual_information,comment,classifier,concept,control,control_val
639330,453587,385267,566808,2044992,0.53,0.59,0.5,0.62,0.06,0.53,0.46,0.4,0.5,0.07,-0.09,0.98,1.0,0.0,,message_length_avg_better,files_edited_avg_better,age_group,Medium
845397,88267,179200,932128,2044992,0.46,0.87,0.5,0.83,-0.05,0.48,0.67,0.43,0.5,-0.09,-0.47,0.56,1.0,0.01,,message_length_avg_better,ccp_avg_better,age_group,Medium
495397,543312,529200,477083,2044992,0.51,0.48,0.5,0.48,0.02,0.51,0.49,0.33,0.5,0.02,-0.03,1.0,1.0,0.0,,message_length_avg_better,same_date_duration_avg_avg_better,age_group,Medium
517856,501699,506741,518696,2044992,0.5,0.51,0.5,0.51,-0.0,0.5,0.5,0.34,0.5,-0.0,-0.02,1.0,1.0,0.0,,message_length_avg_better,commit_period_avg_better,age_group,Medium
554344,537774,470253,482621,2044992,0.53,0.51,0.5,0.54,0.07,0.53,0.47,0.37,0.5,0.07,0.05,1.0,1.0,0.0,,message_length_avg_better,commit_days_avg_better,age_group,Medium
988276,79280,941115,36321,2044992,0.52,0.5,0.94,0.51,0.02,0.96,0.92,0.5,0.5,0.04,0.04,1.0,0.31,0.01,,refactor_mle_avg_better,message_length_avg_better,age_group,Medium
1035778,62326,893613,53275,2044992,0.54,0.53,0.94,0.54,0.01,0.95,0.93,0.52,0.53,0.02,0.01,1.0,0.31,0.0,,refactor_mle_avg_better,commit_hours_better,age_group,Medium
1929070,161,321,115440,2044992,0.94,1.0,0.94,1.0,0.0,0.94,0.67,0.94,0.94,0.0,-0.06,0.0,0.31,0.0,,refactor_mle_avg_better,owned_repository_avg_better,age_group,Medium
1162386,71849,767005,43752,2044992,0.6,0.59,0.94,0.6,0.02,0.96,0.91,0.59,0.58,0.04,0.02,0.98,0.31,0.01,,refactor_mle_avg_better,files_edited_avg_better,age_group,Medium
1685443,23519,243948,92082,2044992,0.84,0.87,0.94,0.87,0.01,0.95,0.91,0.83,0.83,0.01,-0.04,0.56,0.31,0.0,,refactor_mle_avg_better,ccp_avg_better,age_group,Medium
916118,59239,1013273,56362,2044992,0.48,0.48,0.94,0.47,-0.0,0.94,0.94,0.46,0.48,-0.0,-0.09,1.0,0.31,0.0,,refactor_mle_avg_better,same_date_duration_avg_avg_better,age_group,Medium
980122,59171,949269,56430,2044992,0.51,0.51,0.94,0.51,0.0,0.95,0.94,0.49,0.51,0.0,0.0,1.0,0.31,0.0,,refactor_mle_avg_better,commit_period_avg_better,age_group,Medium
988774,67410,940617,48191,2044992,0.52,0.51,0.94,0.51,0.01,0.95,0.93,0.5,0.51,0.02,0.02,1.0,0.31,0.0,,refactor_mle_avg_better,commit_days_avg_better,age_group,Medium
575905,507247,513148,448692,2044992,0.53,0.5,0.53,0.53,0.06,0.56,0.5,0.37,0.5,0.06,0.06,1.0,1.0,0.0,,commit_hours_better,message_length_avg_better,age_group,Medium
1035778,62326,53275,893613,2044992,0.54,0.94,0.53,0.95,0.01,0.54,0.46,0.52,0.53,0.02,-0.43,0.31,1.0,0.0,,commit_hours_better,refactor_mle_avg_better,age_group,Medium
1088807,236,246,955703,2044992,0.53,1.0,0.53,1.0,0.0,0.53,0.51,0.53,0.53,0.0,-0.47,0.0,1.0,0.0,,commit_hours_better,owned_repository_avg_better,age_group,Medium
756023,505824,333030,450115,2044992,0.62,0.59,0.53,0.69,0.18,0.63,0.4,0.49,0.51,0.22,0.05,0.98,1.0,0.04,,commit_hours_better,files_edited_avg_better,age_group,Medium
917627,96041,171426,859898,2044992,0.5,0.87,0.53,0.84,-0.03,0.52,0.64,0.47,0.52,-0.05,-0.43,0.56,1.0,0.01,,commit_hours_better,ccp_avg_better,age_group,Medium
377798,361257,711255,594682,2044992,0.36,0.48,0.53,0.35,-0.27,0.39,0.66,0.22,0.5,-0.27,-0.31,1.0,1.0,0.06,,commit_hours_better,same_date_duration_avg_avg_better,age_group,Medium
660929,580316,428124,375623,2044992,0.61,0.51,0.53,0.61,0.2,0.64,0.42,0.45,0.5,0.21,0.2,1.0,1.0,0.03,,commit_hours_better,commit_period_avg_better,age_group,Medium
779442,698416,309611,257523,2044992,0.72,0.51,0.53,0.72,0.41,0.75,0.31,0.58,0.5,0.44,0.43,1.0,1.0,0.15,,commit_hours_better,commit_days_avg_better,age_group,Medium
23826,5408,3885,13413,46532,0.63,0.8,0.6,0.86,0.07,0.64,0.42,0.58,0.56,0.13,-0.21,0.72,0.97,0.02,,message_length_avg_better,refactor_mle_avg_better,age_group,Pre GitHub
19759,7287,7952,11534,46532,0.58,0.67,0.6,0.71,0.06,0.63,0.52,0.5,0.53,0.09,-0.14,0.91,0.97,0.01,,message_length_avg_better,commit_hours_better,age_group,Pre GitHub
27677,5,34,18816,46532,0.59,1.0,0.6,1.0,-0.0,0.6,0.87,0.59,0.6,-0.0,-0.4,0.01,0.97,0.0,,message_length_avg_better,owned_repository_avg_better,age_group,Pre GitHub
18767,7317,8944,11504,46532,0.56,0.65,0.6,0.68,0.04,0.62,0.55,0.48,0.53,0.06,-0.14,0.93,0.97,0.0,,message_length_avg_better,files_edited_avg_better,age_group,Pre GitHub
21119,4014,6592,14807,46532,0.54,0.77,0.6,0.76,-0.01,0.59,0.62,0.5,0.55,-0.02,-0.3,0.77,0.97,0.0,,message_length_avg_better,ccp_avg_better,age_group,Pre GitHub
14283,9663,13428,9158,46532,0.51,0.5,0.6,0.52,0.02,0.61,0.58,0.39,0.5,0.03,0.02,1.0,0.97,0.0,,message_length_avg_better,same_date_duration_avg_avg_better,age_group,Pre GitHub
19193,7501,8518,11320,46532,0.57,0.66,0.6,0.69,0.06,0.63,0.53,0.49,0.53,0.08,-0.13,0.93,0.97,0.01,,message_length_avg_better,commit_period_avg_better,age_group,Pre GitHub
18185,7771,9526,11050,46532,0.56,0.63,0.6,0.66,0.04,0.62,0.55,0.47,0.52,0.06,-0.11,0.95,0.97,0.0,,message_length_avg_better,commit_days_avg_better,age_group,Pre GitHub
23826,5408,13413,3885,46532,0.63,0.6,0.8,0.64,0.07,0.86,0.71,0.58,0.56,0.13,0.05,0.97,0.72,0.02,,refactor_mle_avg_better,message_length_avg_better,age_group,Pre GitHub
26389,4389,10850,4904,46532,0.66,0.67,0.8,0.71,0.05,0.84,0.71,0.63,0.6,0.1,-0.02,0.91,0.72,0.02,,refactor_mle_avg_better,commit_hours_better,age_group,Pre GitHub
37228,28,11,9265,46532,0.8,1.0,0.8,1.0,0.0,0.8,0.28,0.8,0.8,0.0,-0.2,0.01,0.72,0.0,,refactor_mle_avg_better,owned_repository_avg_better,age_group,Pre GitHub
25924,4946,11315,4347,46532,0.66,0.65,0.8,0.7,0.07,0.86,0.7,0.62,0.59,0.12,0.02,0.93,0.72,0.03,,refactor_mle_avg_better,files_edited_avg_better,age_group,Pre GitHub
30773,4140,6466,5153,46532,0.75,0.77,0.8,0.83,0.07,0.86,0.61,0.73,0.66,0.13,-0.03,0.77,0.72,0.04,,refactor_mle_avg_better,ccp_avg_better,age_group,Pre GitHub
18827,4679,18412,4614,46532,0.51,0.5,0.8,0.51,0.0,0.8,0.8,0.45,0.5,0.01,0.0,1.0,0.72,0.0,,refactor_mle_avg_better,same_date_duration_avg_avg_better,age_group,Pre GitHub
