metric,true_positives,true_negatives,false_positives,false_negatives,samples,accuracy,positive_rate,hit_rate,precision,precision_lift,recall,fpr,jaccard,independent_prob,lift_over_independent,lift_over_majority,concept_entropy,classifier_entropy,mutual_information,comment,language_group
files_edited,28210,33185,21424,40456,123275,0.5,0.56,0.4,0.57,0.02,0.41,0.39,0.31,0.49,0.02,-0.11,0.99,0.97,0.0,,1.0
files_edited,17088,14677,11268,17069,60102,0.53,0.57,0.47,0.6,0.06,0.5,0.43,0.38,0.5,0.07,-0.07,0.99,1.0,0.0,,2.0
files_edited,6379,5601,5549,6715,24244,0.49,0.54,0.49,0.53,-0.01,0.49,0.5,0.34,0.5,-0.01,-0.09,1.0,1.0,0.0,,3.0
files_edited,17743,22464,18929,15990,75126,0.54,0.45,0.49,0.48,0.08,0.53,0.46,0.34,0.5,0.07,-0.03,0.99,1.0,0.0,,4.0
refactor_mle,64881,183752,34239,225106,507978,0.49,0.57,0.2,0.65,0.15,0.22,0.16,0.2,0.46,0.07,-0.14,0.99,0.71,0.01,,-1.0
refactor_mle,10934,21331,7061,22991,62317,0.52,0.54,0.29,0.61,0.12,0.32,0.25,0.27,0.48,0.08,-0.05,0.99,0.87,0.0,,0.0
refactor_mle,12221,48241,6368,56445,123275,0.49,0.56,0.15,0.66,0.18,0.18,0.12,0.16,0.46,0.07,-0.12,0.99,0.61,0.01,,1.0
refactor_mle,7927,20273,5672,26230,60102,0.47,0.57,0.23,0.58,0.03,0.23,0.22,0.2,0.46,0.01,-0.17,0.99,0.77,0.0,,2.0
refactor_mle,7755,6543,4607,5339,24244,0.59,0.54,0.51,0.63,0.16,0.59,0.41,0.44,0.5,0.18,0.09,1.0,1.0,0.02,,3.0
refactor_mle,12530,33999,7394,21203,75126,0.62,0.45,0.27,0.63,0.4,0.37,0.18,0.3,0.52,0.18,0.12,0.99,0.83,0.03,,4.0
same_date_duration_avg,137484,111836,106155,152503,507978,0.49,0.57,0.48,0.56,-0.01,0.47,0.49,0.35,0.5,-0.01,-0.14,0.99,1.0,0.0,,-1.0
same_date_duration_avg,14878,14474,13918,19047,62317,0.47,0.54,0.46,0.52,-0.05,0.44,0.49,0.31,0.5,-0.05,-0.13,0.99,1.0,0.0,,0.0
same_date_duration_avg,35126,26017,28592,33540,123275,0.5,0.56,0.52,0.55,-0.01,0.51,0.52,0.36,0.5,-0.01,-0.11,0.99,1.0,0.0,,1.0
same_date_duration_avg,15304,13229,12716,18853,60102,0.47,0.57,0.47,0.55,-0.04,0.45,0.49,0.33,0.5,-0.04,-0.16,0.99,1.0,0.0,,2.0
same_date_duration_avg,6254,5118,6032,6840,24244,0.47,0.54,0.51,0.51,-0.06,0.48,0.54,0.33,0.5,-0.06,-0.13,1.0,1.0,0.0,,3.0
same_date_duration_avg,13132,28486,12907,20601,75126,0.55,0.45,0.35,0.5,0.12,0.39,0.31,0.28,0.52,0.07,0.01,0.99,0.93,0.0,,4.0
