metric,true_positives,true_negatives,false_positives,false_negatives,samples,accuracy,positive_rate,hit_rate,precision,precision_lift,recall,fpr,jaccard,independent_prob,lift_over_independent,lift_over_majority,concept_entropy,classifier_entropy,mutual_information,comment,License Type_code
commits,194907,218325,78382,56815,548429,0.75,0.46,0.5,0.71,0.55,0.77,0.26,0.59,0.5,0.51,0.39,1.0,1.0,0.2,,8.0
commits,803,1188,351,181,2523,0.79,0.39,0.46,0.7,0.78,0.82,0.23,0.6,0.51,0.55,0.29,0.96,0.99,0.25,,9.0
commits,3010,4154,1488,971,9623,0.74,0.41,0.47,0.67,0.62,0.76,0.26,0.55,0.51,0.47,0.27,0.98,1.0,0.18,,10.0
files_edited,10287,12394,6620,5314,34615,0.66,0.45,0.49,0.61,0.35,0.66,0.35,0.46,0.5,0.31,0.19,0.99,1.0,0.07,,-1.0
files_edited,57294,65455,31754,30570,185073,0.66,0.47,0.48,0.64,0.36,0.65,0.33,0.48,0.5,0.32,0.26,1.0,1.0,0.08,,0.0
files_edited,201,271,142,109,723,0.65,0.43,0.47,0.59,0.37,0.65,0.34,0.44,0.5,0.3,0.14,0.99,1.0,0.07,,1.0
files_edited,6043,7022,3617,2722,19404,0.67,0.45,0.5,0.63,0.38,0.69,0.34,0.49,0.5,0.35,0.23,0.99,1.0,0.09,,2.0
files_edited,19274,28130,15950,8959,72313,0.66,0.39,0.49,0.55,0.4,0.68,0.36,0.44,0.5,0.3,0.08,0.97,1.0,0.07,,3.0
files_edited,11216,14376,7535,5588,38715,0.66,0.43,0.48,0.6,0.38,0.67,0.34,0.46,0.5,0.32,0.17,0.99,1.0,0.08,,4.0
files_edited,1270,1650,886,559,4365,0.67,0.42,0.49,0.59,0.41,0.69,0.35,0.47,0.5,0.34,0.15,0.98,1.0,0.09,,5.0
files_edited,1084,1409,756,493,3742,0.67,0.42,0.49,0.59,0.4,0.69,0.35,0.46,0.5,0.33,0.15,0.98,1.0,0.08,,6.0
files_edited,335,430,254,142,1161,0.66,0.41,0.51,0.57,0.38,0.7,0.37,0.46,0.5,0.32,0.12,0.98,1.0,0.08,,7.0
files_edited,136600,200761,95946,115122,548429,0.62,0.46,0.42,0.59,0.28,0.54,0.32,0.39,0.51,0.22,0.14,1.0,0.98,0.04,,8.0
files_edited,660,1014,525,324,2523,0.66,0.39,0.47,0.56,0.43,0.67,0.34,0.44,0.51,0.31,0.09,0.96,1.0,0.08,,9.0
files_edited,2682,3682,1960,1299,9623,0.66,0.41,0.48,0.58,0.4,0.67,0.35,0.45,0.5,0.31,0.13,0.98,1.0,0.08,,10.0
message_length_avg,8840,9178,9836,6761,34615,0.52,0.45,0.54,0.47,0.05,0.57,0.52,0.35,0.5,0.05,-0.05,0.99,1.0,0.0,,-1.0
message_length_avg,54529,42916,54293,33335,185073,0.53,0.47,0.59,0.5,0.06,0.62,0.56,0.38,0.5,0.06,0.0,1.0,0.98,0.0,,0.0
message_length_avg,179,200,213,131,723,0.52,0.43,0.54,0.46,0.06,0.58,0.52,0.34,0.49,0.06,-0.08,0.99,0.99,0.0,,1.0
message_length_avg,5123,4996,5643,3642,19404,0.52,0.45,0.55,0.48,0.05,0.58,0.53,0.36,0.49,0.05,-0.05,0.99,0.99,0.0,,2.0
message_length_avg,11780,23443,20637,16453,72313,0.49,0.39,0.45,0.36,-0.07,0.42,0.47,0.24,0.51,-0.05,-0.2,0.97,0.99,0.0,,3.0
message_length_avg,8911,10459,11452,7893,38715,0.5,0.43,0.53,0.44,0.01,0.53,0.52,0.32,0.5,0.01,-0.12,0.99,1.0,0.0,,4.0
message_length_avg,932,1322,1214,897,4365,0.52,0.42,0.49,0.43,0.04,0.51,0.48,0.31,0.5,0.03,-0.11,0.98,1.0,0.0,,5.0
message_length_avg,758,1098,1067,819,3742,0.5,0.42,0.49,0.42,-0.01,0.48,0.49,0.29,0.5,-0.01,-0.14,0.98,1.0,0.0,,6.0
message_length_avg,255,354,330,222,1161,0.52,0.41,0.5,0.44,0.06,0.53,0.48,0.32,0.5,0.05,-0.11,0.98,1.0,0.0,,7.0
message_length_avg,152689,136290,160417,99033,548429,0.53,0.46,0.57,0.49,0.06,0.61,0.54,0.37,0.49,0.07,-0.03,1.0,0.99,0.0,,8.0
message_length_avg,525,711,828,459,2523,0.49,0.39,0.54,0.39,-0.01,0.53,0.54,0.29,0.49,-0.0,-0.2,0.96,1.0,0.0,,9.0
message_length_avg,2217,2445,3197,1764,9623,0.48,0.41,0.56,0.41,-0.01,0.56,0.57,0.31,0.49,-0.01,-0.17,0.98,0.99,0.0,,10.0
refactor_mle,5862,12489,6525,9739,34615,0.53,0.45,0.36,0.47,0.05,0.38,0.34,0.26,0.51,0.03,-0.03,0.99,0.94,0.0,,-1.0
refactor_mle,28216,68692,28517,59648,185073,0.52,0.47,0.31,0.5,0.05,0.32,0.29,0.24,0.51,0.03,-0.0,1.0,0.89,0.0,,0.0
refactor_mle,131,240,173,179,723,0.51,0.43,0.42,0.43,0.01,0.42,0.42,0.27,0.51,0.0,-0.1,0.99,0.98,0.0,,1.0
refactor_mle,3260,7139,3500,5505,19404,0.54,0.45,0.35,0.48,0.07,0.37,0.33,0.27,0.51,0.04,-0.02,0.99,0.93,0.0,,2.0
refactor_mle,8191,31485,12595,20042,72313,0.55,0.39,0.29,0.39,0.01,0.29,0.29,0.2,0.55,0.0,-0.1,0.97,0.87,0.0,,3.0
refactor_mle,7061,13679,8232,9743,38715,0.54,0.43,0.4,0.46,0.06,0.42,0.38,0.28,0.51,0.04,-0.05,0.99,0.97,0.0,,4.0
refactor_mle,951,1458,1078,878,4365,0.55,0.42,0.46,0.47,0.12,0.52,0.43,0.33,0.51,0.09,-0.05,0.98,1.0,0.01,,5.0
refactor_mle,749,1283,882,828,3742,0.54,0.42,0.44,0.46,0.09,0.47,0.41,0.3,0.51,0.06,-0.06,0.98,0.99,0.0,,6.0
refactor_mle,234,415,269,243,1161,0.56,0.41,0.43,0.47,0.13,0.49,0.39,0.31,0.51,0.09,-0.05,0.98,0.99,0.01,,7.0
refactor_mle,32095,264485,32222,219627,548429,0.54,0.46,0.12,0.5,0.09,0.13,0.11,0.11,0.53,0.02,-0.0,1.0,0.52,0.0,,8.0
refactor_mle,438,997,542,546,2523,0.57,0.39,0.39,0.45,0.15,0.45,0.35,0.29,0.52,0.08,-0.07,0.96,0.96,0.01,,9.0
refactor_mle,2008,2954,2688,1973,9623,0.52,0.41,0.49,0.43,0.03,0.5,0.48,0.3,0.5,0.03,-0.12,0.98,1.0,0.0,,10.0
same_date_duration_avg,6158,8136,10878,9443,34615,0.41,0.45,0.49,0.36,-0.2,0.39,0.57,0.23,0.5,-0.18,-0.25,0.99,1.0,0.02,,-1.0
same_date_duration_avg,29967,43691,53518,57897,185073,0.4,0.47,0.45,0.36,-0.24,0.34,0.55,0.21,0.5,-0.21,-0.24,1.0,0.99,0.03,,0.0
same_date_duration_avg,146,179,234,164,723,0.45,0.43,0.53,0.38,-0.1,0.47,0.57,0.27,0.5,-0.09,-0.21,0.99,1.0,0.01,,1.0
same_date_duration_avg,3589,4775,5864,5176,19404,0.43,0.45,0.49,0.38,-0.16,0.41,0.55,0.25,0.5,-0.14,-0.21,0.99,1.0,0.01,,2.0
same_date_duration_avg,7788,27706,16374,20445,72313,0.49,0.39,0.33,0.32,-0.17,0.28,0.37,0.17,0.54,-0.08,-0.19,0.97,0.92,0.01,,3.0
same_date_duration_avg,6622,9669,12242,10182,38715,0.42,0.43,0.49,0.35,-0.19,0.39,0.56,0.23,0.5,-0.16,-0.26,0.99,1.0,0.02,,4.0
same_date_duration_avg,727,1100,1436,1102,4365,0.42,0.42,0.5,0.34,-0.2,0.4,0.57,0.22,0.5,-0.16,-0.28,0.98,1.0,0.02,,5.0
same_date_duration_avg,676,924,1241,901,3742,0.43,0.42,0.51,0.35,-0.16,0.43,0.57,0.24,0.5,-0.14,-0.26,0.98,1.0,0.01,,6.0
same_date_duration_avg,190,292,392,287,1161,0.42,0.41,0.5,0.33,-0.21,0.4,0.57,0.22,0.5,-0.17,-0.3,0.98,1.0,0.02,,7.0
same_date_duration_avg,91479,115213,181494,160243,548429,0.38,0.46,0.5,0.34,-0.27,0.36,0.61,0.21,0.5,-0.25,-0.3,1.0,1.0,0.04,,8.0
same_date_duration_avg,433,647,892,551,2523,0.43,0.39,0.53,0.33,-0.16,0.44,0.58,0.23,0.49,-0.13,-0.3,0.96,1.0,0.01,,9.0
same_date_duration_avg,1494,2521,3121,2487,9623,0.42,0.41,0.48,0.32,-0.22,0.38,0.55,0.21,0.5,-0.17,-0.29,0.98,1.0,0.02,,10.0
