cases,developers,a_Is_Company,message_length_avg_better,refactor_mle_avg_better,commit_hours_better,message_length_avg_same,commit_hours_same,owned_repository_avg_better,files_edited_avg_better,ccp_avg_better,same_date_duration_avg_avg_better,commit_period_avg_better,commit_days_avg_better
1329,87,true,1,0,0,0,0,1,1,1,0,0,0
677,87,true,0,1,0,0,0,1,1,0,1,1,0
439,87,false,1,0,0,0,0,1,0,1,0,1,0
1051,87,true,1,1,0,0,0,1,1,1,1,1,1
901,88,true,1,1,0,0,0,1,1,1,0,1,1
6419,345,true,1,1,0,0,0,1,0,0,0,0,0
321,90,false,0,0,0,0,0,1,0,0,0,1,0
643,90,true,0,0,0,0,0,1,1,0,1,0,0
1773,91,true,0,1,0,0,0,1,1,0,0,0,0
1766,92,true,0,0,0,0,0,1,1,1,1,1,1
672,94,false,1,1,0,0,0,1,1,0,0,1,0
1702,94,true,0,1,0,0,0,1,1,0,1,0,0
1224,94,true,0,0,0,0,0,1,1,1,1,0,1
1302,97,true,1,1,0,0,0,1,1,1,0,1,0
1303,97,true,1,1,0,0,0,1,1,0,0,1,1
443,101,false,0,0,0,0,0,1,1,1,1,0,0
434,101,false,1,0,0,0,0,1,0,1,1,1,0
10104,357,true,0,1,0,0,0,1,0,1,0,0,0
6755,358,true,1,1,0,0,0,1,0,0,1,0,0
991,103,false,0,1,0,0,0,1,1,1,0,1,0
1048,103,true,0,1,0,0,0,1,1,1,0,1,0
336,104,false,1,0,0,0,0,1,0,0,0,1,0
881,104,false,0,1,0,0,0,1,1,1,1,1,0
1462,105,true,1,0,0,0,0,1,1,0,0,0,0
424,106,false,1,0,0,0,0,1,0,0,1,1,0
986,106,false,1,1,0,0,0,1,1,1,0,1,0
2176,362,true,1,0,0,0,0,1,0,1,1,0,0
349,109,false,0,1,0,0,0,1,0,0,1,1,0
1532,110,true,1,1,0,0,0,1,1,0,1,1,0
1150,110,true,0,0,0,0,0,1,1,1,1,1,0
1133,110,true,1,1,0,0,0,1,1,1,1,1,0
570,111,false,1,1,0,0,0,1,1,0,1,0,0
475,113,false,0,0,0,0,0,1,0,0,1,1,0
888,113,true,0,1,0,0,0,1,1,1,1,1,1
4013,369,true,1,1,0,0,0,1,0,1,1,0,0
1375,114,true,1,1,0,0,0,1,1,0,1,1,1
1032,114,true,0,1,0,0,0,1,1,1,1,1,0
985,116,true,1,0,0,0,0,1,1,0,1,0,0
828,117,false,1,1,0,0,0,1,1,1,1,1,0
1075,118,true,0,1,0,0,0,1,0,0,1,1,0
