cases,developers,message_length_avg_better,refactor_mle_avg_better,commit_hours_better,message_length_avg_same,commit_hours_same,owned_repository_avg_better,files_edited_avg_better,ccp_avg_better,same_date_duration_avg_avg_better,commit_period_avg_better,commit_days_avg_better
8,8,1,0,0,0,0,0,1,0,0,0,0
8,4,0,0,0,0,0,0,1,1,1,0,1
9,7,1,1,0,0,0,0,0,1,1,1,0
9,6,1,1,0,0,0,0,1,0,1,1,0
9,8,0,0,0,0,0,0,0,1,1,1,0
9,7,1,0,0,0,0,0,1,0,1,0,0
10,9,1,0,0,0,0,0,0,0,0,1,0
10,8,1,0,0,0,0,0,1,1,0,0,0
12,9,1,0,0,0,0,0,0,1,0,1,0
12,7,0,1,0,0,0,0,1,0,1,0,0
14,10,0,1,0,0,0,0,0,1,1,1,0
18,10,0,1,0,0,0,0,1,1,1,0,0
18,10,1,0,0,0,0,0,0,0,1,1,0
18,14,1,1,0,0,0,0,0,0,0,1,0
19,13,0,1,0,0,0,0,0,0,0,0,0
19,10,0,0,0,0,0,0,0,0,0,0,0
19,12,1,1,0,0,0,0,0,0,1,1,0
19,14,0,1,0,0,0,0,0,1,0,0,0
23,15,1,1,0,0,0,0,0,1,0,0,0
548,112,1,0,1,0,1,1,1,1,0,0,0
562,18,1,1,1,1,0,1,0,1,0,0,0
263,102,1,0,1,0,1,1,1,0,1,1,0
555,136,0,0,1,0,0,1,0,0,1,1,0
10519,577,0,1,1,0,0,1,1,0,1,0,1
33,13,1,1,1,1,0,1,1,1,1,0,0
360,161,1,0,1,0,1,1,0,0,1,1,0
15,12,1,1,1,0,0,0,1,0,1,1,1
3065,113,0,1,1,0,0,1,1,0,1,0,0
462,158,0,0,1,0,0,1,0,0,1,0,0
2663,340,0,1,1,0,1,1,1,0,1,1,1
25891,183,1,1,1,0,0,1,0,1,1,0,0
20678,202,1,1,1,0,0,1,0,1,1,1,0
163773,989,1,1,1,0,0,1,1,1,0,0,1
1417,231,0,1,1,0,1,1,0,0,0,1,0
391,176,0,0,1,0,1,1,0,0,1,1,1
269,78,1,0,1,0,1,1,0,1,0,0,1
1096,138,1,1,1,0,1,1,0,0,0,0,1
126,21,1,1,1,1,0,1,0,1,1,1,1
25096,239,0,1,1,0,0,1,0,1,1,0,0
74119,256,0,1,1,0,0,1,1,1,0,1,0
12885,318,1,1,1,0,1,1,0,1,0,0,0
699,174,1,0,1,0,1,1,0,1,1,1,0
266,33,1,1,1,1,1,1,1,1,0,1,0
4075,1227,1,1,1,1,1,1,1,1,0,1,1
1587,444,0,0,1,0,0,1,0,0,1,1,1
2732,591,0,0,1,0,1,1,1,1,1,1,1
201,103,1,0,1,0,1,1,0,0,1,0,1
6219,207,0,1,1,0,1,1,0,1,1,0,1
191,96,0,0,1,0,1,1,0,0,0,0,1
177,20,1,1,1,1,1,1,0,1,0,0,1
6155,186,1,1,1,0,0,1,1,0,1,1,0
34379,292,1,1,1,0,0,1,0,1,1,0,1
971,342,0,0,1,0,1,1,1,0,1,1,1
28,17,1,1,1,0,0,0,1,1,0,1,1
56226,297,0,1,1,0,0,1,0,1,0,1,0
795,80,1,0,1,0,0,1,1,1,1,0,0
9989,261,1,1,1,0,1,1,1,1,0,1,0
67067,433,1,1,1,0,0,1,0,1,0,0,1
619,179,1,0,1,0,0,1,1,0,0,0,0
1716,172,0,1,1,0,1,1,1,0,0,0,0
478,229,0,0,1,0,1,1,0,0,1,0,0
329,33,1,1,1,1,0,1,1,1,0,1,0
1279,151,0,1,1,0,1,1,1,0,0,1,0
147140,1923,0,1,1,0,0,1,1,1,1,1,1
254,111,0,0,1,0,1,1,1,0,0,0,1
50880,314,1,1,1,0,0,1,0,1,0,0,0
1687,178,0,1,1,0,1,1,1,0,1,0,1
334,135,1,0,1,0,1,1,1,0,1,0,1
33099,190,0,1,1,0,0,1,1,1,1,1,0
1879,306,0,0,1,0,1,1,0,1,0,1,0
56655,2072,0,1,1,0,0,1,1,0,0,1,1
64,40,1,1,1,0,0,0,1,0,0,1,1
12209,320,0,1,1,0,1,1,0,1,0,1,0
2176,118,0,1,1,0,0,1,1,0,1,1,0
890,272,1,0,1,0,0,1,0,0,0,1,0
562,122,0,0,1,0,0,1,1,0,0,0,0
2160,424,1,1,1,0,1,1,0,0,0,1,0
132507,4238,1,1,1,0,0,1,1,0,0,1,1
322617,2260,0,1,1,0,0,1,1,1,0,1,1
10577,266,1,1,1,0,1,1,0,1,0,1,1
274,112,0,0,1,0,1,1,1,0,0,0,0
6730,217,0,1,1,0,0,1,1,0,0,0,0
10928,1513,1,0,1,0,0,1,1,1,0,1,1
3259,277,1,1,1,0,1,1,1,0,0,0,1
60,9,1,1,1,1,1,1,0,1,1,0,0
16517,2884,1,1,1,1,1,1,1,1,1,1,1
1575,468,0,0,1,0,0,1,1,0,1,0,1
2880,187,1,1,1,0,0,1,0,0,1,0,0
54300,1429,1,1,1,0,0,1,1,0,0,0,1
7699,1650,0,0,1,0,0,1,1,0,0,1,1
1056,335,1,0,1,0,1,1,1,0,0,1,1
1672,359,1,0,1,0,1,1,1,1,1,1,1
428,61,1,1,1,1,1,1,0,1,0,1,1
10656,349,0,1,1,0,1,1,0,1,1,0,0
1697,218,0,0,1,0,0,1,0,1,1,1,0
6591,317,0,0,1,0,0,1,0,1,0,1,0
7528,230,1,1,1,0,1,1,0,1,1,1,0
331,187,1,0,1,0,1,1,0,0,1,0,0
25055,1514,0,1,1,0,0,1,1,0,1,1,1
1641,266,1,1,1,0,1,1,0,0,1,0,0
518,114,1,0,1,0,1,1,1,1,0,1,0
418,165,1,0,1,0,0,1,0,0,1,1,0
5075,244,0,1,1,0,0,1,0,0,0,0,0
818,153,0,1,1,0,1,1,0,0,1,1,0
22140,212,0,1,1,0,0,1,0,1,1,1,0
315352,2727,1,1,1,0,0,1,1,1,0,1,1
1457,284,0,0,1,0,1,1,0,1,1,1,1
11553,316,0,1,1,0,1,1,0,1,1,1,1
9562,208,0,1,1,0,1,1,1,1,1,1,0
