metric,true_positives,true_negatives,false_positives,false_negatives,samples,accuracy,positive_rate,hit_rate,precision,precision_lift,recall,fpr,jaccard,independent_prob,lift_over_independent,lift_over_majority,concept_entropy,classifier_entropy,mutual_information,comment,License Type_code
files_edited,198,186,145,194,723,0.53,0.54,0.47,0.58,0.06,0.51,0.44,0.37,0.5,0.07,-0.02,0.99,1.0,0.0,,1.0
files_edited,5803,4781,3857,4963,19404,0.55,0.55,0.5,0.6,0.08,0.54,0.45,0.4,0.5,0.09,-0.02,0.99,1.0,0.01,,2.0
files_edited,16718,21390,18506,15699,72313,0.53,0.45,0.49,0.47,0.06,0.52,0.46,0.33,0.5,0.05,-0.04,0.99,1.0,0.0,,3.0
files_edited,9975,9576,8776,10388,38715,0.5,0.53,0.48,0.53,0.01,0.49,0.48,0.34,0.5,0.01,-0.04,1.0,1.0,0.0,,4.0
files_edited,1114,1177,1042,1032,4365,0.52,0.49,0.49,0.52,0.05,0.52,0.47,0.35,0.5,0.05,0.03,1.0,1.0,0.0,,5.0
files_edited,885,962,955,940,3742,0.49,0.49,0.49,0.48,-0.01,0.48,0.5,0.32,0.5,-0.01,-0.04,1.0,1.0,0.0,,6.0
files_edited,320,307,269,265,1161,0.54,0.5,0.51,0.54,0.08,0.55,0.47,0.37,0.5,0.08,0.07,1.0,1.0,0.0,,7.0
files_edited,132780,135557,99766,180326,548429,0.49,0.57,0.42,0.57,0.0,0.42,0.42,0.32,0.49,0.0,-0.14,0.99,0.98,0.0,,8.0
files_edited,621,606,564,732,2523,0.49,0.54,0.47,0.52,-0.02,0.46,0.48,0.32,0.5,-0.02,-0.09,1.0,1.0,0.0,,9.0
files_edited,2527,2094,2115,2887,9623,0.48,0.56,0.48,0.54,-0.03,0.47,0.5,0.34,0.5,-0.04,-0.15,0.99,1.0,0.0,,10.0
refactor_mle,7515,11067,4872,11161,34615,0.54,0.54,0.36,0.61,0.12,0.4,0.31,0.32,0.49,0.1,-0.01,1.0,0.94,0.01,,-1.0
refactor_mle,38706,58224,18027,70116,185073,0.52,0.59,0.31,0.68,0.16,0.36,0.24,0.31,0.47,0.12,-0.11,0.98,0.89,0.01,,0.0
refactor_mle,170,197,134,222,723,0.51,0.54,0.42,0.56,0.03,0.43,0.4,0.32,0.49,0.03,-0.06,0.99,0.98,0.0,,1.0
refactor_mle,3998,5876,2762,6768,19404,0.51,0.55,0.35,0.59,0.07,0.37,0.32,0.3,0.48,0.05,-0.08,0.99,0.93,0.0,,2.0
refactor_mle,12837,31947,7949,19580,72313,0.62,0.45,0.29,0.62,0.38,0.4,0.2,0.32,0.52,0.19,0.12,0.99,0.87,0.03,,3.0
refactor_mle,9309,12368,5984,11054,38715,0.56,0.53,0.4,0.61,0.16,0.46,0.33,0.35,0.49,0.13,0.06,1.0,0.97,0.01,,4.0
refactor_mle,1128,1318,901,1018,4365,0.56,0.49,0.46,0.56,0.13,0.53,0.41,0.37,0.5,0.12,0.1,1.0,1.0,0.01,,5.0
refactor_mle,894,1180,737,931,3742,0.55,0.49,0.44,0.55,0.12,0.49,0.38,0.35,0.5,0.11,0.08,1.0,0.99,0.01,,6.0
